学校,所在地,AB区,985,211,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
上海大学,上海,A,1,0,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：67(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海大学,上海,A,1,0,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：67(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京大学,江苏,A,1,1,1,统考,工程管理学院,(025100)(专业学位)金融,全日制,专业：24(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
苏州大学,江苏,A,1,0,1,统考,东吴商学院,(025100)(专业学位)金融,全日制,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
苏州大学,江苏,A,1,0,1,统考,东吴商学院,(025100)(专业学位)金融,全日制,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
苏州大学,江苏,A,1,0,1,统考,东吴商学院,(025100)(专业学位)金融,全日制,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
苏州大学,江苏,A,1,0,1,统考,金融工程研究中心,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
